Ordinal Name                                  Library 
SetActiveWindow                       USER32  
GetDlgCtrlID                          USER32  
GetMenuState                          USER32  
SendInput                             USER32  
TranslateAcceleratorW                 USER32  
LoadAcceleratorsW                     USER32  
GetAsyncKeyState                      USER32  
IsIconic                              USER32  
SetWindowPlacement                    USER32  
IsMenu                                USER32  
SetLayeredWindowAttributes            USER32  
RedrawWindow                          USER32  
EndDialog                             USER32  
DialogBoxParamW                       USER32  
IsDlgButtonChecked                    USER32  
CheckDlgButton                        USER32  
GetClassInfoExW                       USER32  
RegisterClassExW                      USER32  
EqualRect                             USER32  
IntersectRect                         USER32  
PostQuitMessage                       USER32  
MessageBoxW                           USER32  
GetRawInputData                       USER32  
SystemParametersInfoW                 USER32  
RegisterWindowMessageW                USER32  
GetLastInputInfo                      USER32  
GetGUIThreadInfo                      USER32  
GetKeyboardLayout                     USER32  
DrawIconEx                            USER32  
FrameRect                             USER32  
EndPaint                              USER32  
BeginPaint                            USER32  
EnumClipboardFormats                  USER32  
MonitorFromWindow                     USER32  
GetWindowLongW                        USER32  
EnumWindows                           USER32  
MapWindowPoints                       USER32  
CountClipboardFormats                 USER32  
UnhookWinEvent                        USER32  
SetWinEventHook                       USER32  
GetForegroundWindow                   USER32  
GetCapture                            USER32  
GetMessagePos                         USER32  
OffsetRect                            USER32  
SetRect                               USER32  
DrawFocusRect                         USER32  
GetFocus                              USER32  
GetActiveWindow                       USER32  
SendDlgItemMessageW                   USER32  
LoadIconW                             USER32  
SetDlgItemInt                         USER32  
GetKeyState                           USER32  
GetWindow                             USER32  
GetDlgItem                            USER32  
ScreenToClient                        USER32  
SetClipboardData                      USER32  
GetClipboardSequenceNumber            USER32  
GetClipboardData                      USER32  
CopyRect                              USER32  
DestroyIcon                           USER32  
SetWindowTextW                        USER32  
IsChild                               USER32  
GetMonitorInfoW                       USER32  
IsDialogMessageW                      USER32  
UnregisterClassW                      USER32  
CreateDialogParamW                    USER32  
DestroyWindow                         USER32  
SetWindowLongW                        USER32  
GetWindowThreadProcessId              USER32  
GetSysColor                           USER32  
PostMessageW                          USER32  
MapVirtualKeyW                        USER32  
GetKeyNameTextW                       USER32  
CheckMenuItem                         USER32  
CheckMenuRadioItem                    USER32  
GetMenuItemInfoW                      USER32  
CreatePopupMenu                       USER32  
LoadMenuW                             USER32  
GetSubMenu                            USER32  
DestroyMenu                           USER32  
SetMenuItemInfoW                      USER32  
AppendMenuW                           USER32  
RemoveMenu                            USER32  
EnableMenuItem                        USER32  
GetMenuItemCount                      USER32  
TrackPopupMenu                        USER32  
GetDoubleClickTime                    USER32  
ReleaseDC                             USER32  
GetDC                                 USER32  
GetDlgItemInt                         USER32  
SendMessageW                          USER32  
GetCursorPos                          USER32  
GetKeyboardLayoutList                 USER32  
VkKeyScanExW                          USER32  
ToUnicodeEx                           USER32  
GetSystemMetrics                      USER32  
SetRectEmpty                          USER32  
RegisterRawInputDevices               USER32  
RegisterHotKey                        USER32  
UnregisterHotKey                      USER32  
GetWindowTextW                        USER32  
GetWindowTextLengthW                  USER32  
DefWindowProcW                        USER32  
CallWindowProcW                       USER32  
EnableWindow                          USER32  
InsertMenuItemW                       USER32  
ClientToScreen                        USER32  
GetCursor                             USER32  
LoadCursorW                           USER32  
SetCursor                             USER32  
DrawTextW                             USER32  
MoveWindow                            USER32  
InflateRect                           USER32  
SetFocus                              USER32  
GetWindowPlacement                    USER32  
MonitorFromPoint                      USER32  
PtInRect                              USER32  
KillTimer                             USER32  
ReleaseCapture                        USER32  
SetTimer                              USER32  
SetCapture                            USER32  
InvalidateRect                        USER32  
IsWindowEnabled                       USER32  
CreateWindowExW                       USER32  
IsWindowVisible                       USER32  
WinHttpCrackUrl                       WINHTTP 
WinHttpGetProxyForUrl                 WINHTTP 
WinHttpCloseHandle                    WINHTTP 
WinHttpGetIEProxyConfigForCurrentUser WINHTTP 
WinHttpOpen                           WINHTTP 
connect                               WS2_32  
WSACleanup                            WS2_32  
WSAStartup                            WS2_32  
getsockopt                            WS2_32  
closesocket                           WS2_32  
WSASetLastError                       WS2_32  
socket                                WS2_32  
bind                                  WS2_32  
recv                                  WS2_32  
gethostname                           WS2_32  
getaddrinfo                           WS2_32  
freeaddrinfo                          WS2_32  
ioctlsocket                           WS2_32  
send                                  WS2_32  
select                                WS2_32  
setsockopt                            WS2_32  
getpeername                           WS2_32  
WSAIoctl                              WS2_32  
__WSAFDIsSet                          WS2_32  
WSAGetLastError                       WS2_32  
htons                                 WS2_32  
ntohs                                 WS2_32  
getsockname                           WS2_32  
BASS_Free                             bass    
BASS_Init                             bass    
BASS_RecordInit                       bass    
BASS_RecordFree                       bass    
BASS_RecordStart                      bass    
BASS_ErrorGetCode                     bass    
BASS_ChannelStop                      bass    
BASS_RecordGetInput                   bass    
BASS_RecordSetDevice                  bass    
BASS_ChannelSetSync                   bass    
BASS_ChannelPlay                      bass    
BASS_StreamFree                       bass    
BASS_StreamCreateFile                 bass    
GdipFree                              gdiplus 
GdipAlloc                             gdiplus 
GdipDeleteBrush                       gdiplus 
GdipCloneBrush                        gdiplus 
GdipCreateSolidFill                   gdiplus 
GdipCreatePen2                        gdiplus 
GdipDrawRectangle                     gdiplus 
GdipFillRectangle                     gdiplus 
GdipDisposeImage                      gdiplus 
GdipCreatePath                        gdiplus 
GdipDeletePath                        gdiplus 
GdipResetPath                         gdiplus 
GdipClosePathFigure                   gdiplus 
GdipAddPathLine                       gdiplus 
GdipAddPathArc                        gdiplus 
GdipDrawPath                          gdiplus 
GdipFillPath                          gdiplus 
GdipCloneImage                        gdiplus 
GdipSaveImageToFile                   gdiplus 
GdipCreateBitmapFromFile              gdiplus 
GdipCreateBitmapFromHBITMAP           gdiplus 
GdipCreateHICONFromBitmap             gdiplus 
GdipGetImageEncodersSize              gdiplus 
GdipGetImageEncoders                  gdiplus 
GdiplusStartup                        gdiplus 
GdiplusShutdown                       gdiplus 
GdipCreatePen1                        gdiplus 
GdipSetSmoothingMode                  gdiplus 
GdipDeleteGraphics                    gdiplus 
GdipCreateFromHDC                     gdiplus 
GdipCreateLineBrushFromRect           gdiplus 
GdipDeletePen                         gdiplus 
CoTaskMemFree                         ole32   
OleRun                                ole32   
CoInitializeEx                        ole32   
CoUninitialize                        ole32   
CoCreateInstance                      ole32   
CoTaskMemAlloc                        ole32   
OleUninitialize                       ole32   
OleInitialize                         ole32   
OleLockRunning                        ole32   
